"gene_reject","adj_pvalues","mu_hat","sd","statistic","regulate"
NA,9.25244395365484e-07,-0.805104533107009,0.942543755519473,-4.9069058071431,"Down"
"TESMIN",1.11553971188464e-05,0.442367662790758,0.57840543537046,4.39347315274884,"Up"
"PTPRCAP",4.66626283089736e-05,-0.307954712322621,0.434473662664348,-4.0717430980404,"Down"
"H2AZ1",1.21451726097116e-06,0.405724489271729,0.480236466621759,4.85325440246459,"Up"
"NEXMIF",0.000157273637487903,0.751892657562666,1.14288395243386,3.77929400937202,"Up"
"PHGDH",6.45495740415415e-06,-0.464801434603981,0.59191602685291,-4.51091174786998,"Down"
"PHKA2",0.000240080573058106,0.246197094644164,0.385091940651158,3.67261550887719,"Up"
"MACC1",1.83252810126138e-05,-0.746461872755186,1.00086851174055,-4.28437596047165,"Down"
"NUCKS1",3.29856518190572e-05,-0.186404233984307,0.25791423029134,-4.15180968686061,"Down"
"MATK",0.000295344609834904,-0.312584104469412,0.496127552437374,-3.61934942257251,"Down"
"ARHGEF40",0.0002003181017347,0.227590485703968,0.351584610744255,3.71861498748443,"Up"
"STX16",0.00013785933420592,0.221104396099515,0.333199238090099,3.81197766867392,"Up"
"SOX12",0.000106905118886664,-0.224754612275299,0.33324647894985,-3.87436036648454,"Down"
"EIF5A",0.000343304449822142,-0.609918888924743,0.978631711273632,-3.58022045103686,"Down"
"KIRREL3",3.14325287810541e-05,0.773966069072569,1.06804624248616,4.16283152659446,"Up"
"THRAP3P1",1.91296655294049e-06,-0.840529423464699,1.0138724323754,-4.76240774989692,"Down"
"ZGLP1",0.000260688085972539,0.37767596954409,0.594158189648689,3.6515246359237,"Up"
"GFI1",0.000116823844013422,-0.309647412696356,0.461699658229529,-3.85269715683507,"Down"
"L2HGDH",0.000224007252224885,-0.554817007071897,0.863669141648492,-3.69028010935513,"Down"
"BCL6",0.000189752501125773,0.32255773547419,0.496466466772008,3.73228252575588,"Up"
NA,0.000267451249987714,-0.578676762543652,0.912015653137059,-3.64494282866026,"Down"
"XPNPEP2",7.41766506610751e-05,-0.676068537622641,0.980124207948309,-3.96247540488403,"Down"
"TIMD4",8.99967222099861e-05,-0.682124371654557,1.00061702994183,-3.91608984101318,"Down"
"F12",2.5679556832457e-05,0.371392364733205,0.506917823573774,4.2087427319377,"Up"
"TPX2",0.000339379073635139,-0.466777494498151,0.748329551635771,-3.58322420019008,"Down"
NA,3.21712303753095e-05,-0.711451357891351,0.983030927353074,-4.15752626051764,"Down"
NA,0.000220760925505137,-0.792839463636577,1.23295237693114,-3.69399179783752,"Down"
"NPR2",0.000309107413383805,0.243003681439036,0.386952817031884,3.60754544203483,"Up"
"CD8B",0.000295989598876086,-0.416463506924609,0.661106093220487,-3.61878483659271,"Down"
"CCNA2",2.46001193177867e-05,-0.410644735299668,0.559205733161769,-4.21843745067176,"Down"
"RFX2",3.11151992850264e-06,0.448692649324202,0.552727319898857,4.66331758950446,"Up"
"CXCL1",9.37721363484191e-06,0.364586732217908,0.472661748748767,4.43105736579413,"Up"
"HSPBP1",2.82369818481391e-05,-0.234386176626253,0.32155948857143,-4.1872378921045,"Down"
"WBP1L",0.000249289218035931,0.231307527549903,0.362753088122743,3.6629890306451,"Up"
"ASCL2",0.000117142613507644,-0.260634565419449,0.388686366738328,-3.85203011227097,"Down"
"DHX34",6.12679618221315e-05,0.255150640898198,0.365712365786733,4.00787333999741,"Up"
"ACTN3",0.000283166507740125,-0.561467453720989,0.88847900060874,-3.63023207040633,"Down"
"ARHGAP10",0.00021125834457255,-0.725859164661942,1.12538859483234,-3.70515878969389,"Down"
"GLUD1",0.000342958122029073,-0.227842769757055,0.365553093485474,-3.58048416975619,"Down"
"SMIM3",4.77195961647069e-05,0.279697104162701,0.395113266730105,4.06652388621373,"Up"
"OR2A20P",0.000361822009056277,-0.545477453443617,0.878608056824303,-3.56647014472747,"Down"
"CHST15",0.000232589721045393,0.173618283640352,0.270970108000387,3.6807052789564,"Up"
NA,0.000112990808420393,0.226744519454801,0.33737293861144,3.86085529600654,"Up"
"SNX13",0.000195417656722379,0.191073093275116,0.294676598816414,3.72486773227127,"Up"
NA,7.43534007102538e-05,0.387004590927481,0.561136829239845,3.96190733032512,"Up"
"TKT",0.000344401210252528,0.157561739359304,0.252871035755172,3.57938693826267,"Up"
NA,6.80194421752471e-05,-0.872764627727161,1.2587279570138,-3.98310933806181,"Down"
"PIGM",7.16325344805918e-05,-0.253825223592761,0.367209611247354,-3.97079720557191,"Down"
NA,0.000111572984136357,-0.704324952419138,1.04712795875646,-3.86393924339162,"Down"
"ANXA2R-AS1",8.05582903806728e-05,-0.274422386548633,0.399833453545607,-3.94273309839814,"Down"
"CEMP1",1.29173135243407e-05,0.651056904603097,0.85751145589207,4.36150111961229,"Up"
NA,3.07490161990308e-06,-0.807918588586232,0.994724707805195,-4.66575215134307,"Down"
"ARHGAP27P1-BPTFP1-KPNA2P3",0.000322390966759978,0.230312278758707,0.367858405219222,3.59661025771007,"Up"
NA,0.000336991770306189,-0.510129468697936,0.817410315427435,-3.5850669308572,"Down"
"NDEL1",7.18040190237908e-05,0.214342756177255,0.310134714420303,3.97022756060506,"Up"
"CENPM",0.000106681310823737,-0.525542339393538,0.77912557417728,-3.87487074242462,"Down"
"RHBDL1",0.000166406868397768,0.237653485492948,0.362586439068442,3.76521344562656,"Up"
"PXYLP1",0.000241557713161309,0.303269570348161,0.47456500677246,3.67104826692162,"Up"
"ETV6",0.000137768245220318,-0.583395236723899,0.879125532461248,-3.81214099841885,"Down"
"GYPE",0.000317111806643204,-0.55329403188928,0.882676019862913,-3.60090469959433,"Down"
"CNIH2",0.000116518656846397,0.640806907778156,0.955316146412516,3.85333738981563,"Up"
"RLIG1P1",2.24707142505172e-05,-0.577094976641172,0.782096339530883,-4.23881058988987,"Down"
"SERPINB2",3.91796615686765e-05,0.5730899995198,0.800568931976197,4.11226475678902,"Up"
