"","Selected_File","Group"
"1","US22502540_251271410044_S01_A01.txt","Negative"
"2","US22502540_251271410373_S01_A01.txt","Negative"
"3","US22502540_251271410328_S01_A02.txt","Positive"
"4","US22502540_251271410641_S01_A01.txt","Negative"
"5","US22502540_251271410595_S01_A01.txt","Negative"
"6","US22502540_251271410501_S01_A02.txt","Positive"
"7","US22502540_251271410412_S01_A02.txt","Positive"
"8","US22502540_251271410134_S01_A02.txt","Negative"
"9","US22502540_251271410156_S01_A02.txt","Negative"
"10","US22502540_251271410570_S01_A02.txt","Positive"
"11","US22502540_251271410352_S01_A02.txt","Negative"
"12","US22502540_251271410499_S01_A02.txt","Positive"
"13","US22502540_251271410565_S01_A02.txt","Negative"
"14","US22502540_251271410547_S01_A01.txt","Negative"
"15","US22502540_251271410145_S01_A01.txt","Positive"
"16","US22502540_251271410068_S01_A02.txt","Negative"
"17","US22502540_251271410126_S01_A01.txt","Negative"
"18","US22502540_251271410542_S01_A01.txt","Negative"
"19","US22502540_251271410116_S01_A02.txt","Negative"
"20","US22502540_251271410572_S01_A01.txt","Negative"
"21","US22502540_251271410550_S01_A01.txt","Negative"
"22","US22502540_251271410556_S01_A02.txt","Negative"
"23","US22502540_251271410557_S01_A01.txt","Negative"
"24","US22502540_251271410333_S01_A01.txt","Positive"
"25","US22502540_251271410645_S01_A02.txt","Negative"
"26","US22502540_251271410603_S01_A02.txt","Negative"
"27","US22502540_251271410549_S01_A01.txt","Negative"
"28","US22502540_251271410531_S01_A01.txt","Negative"
"29","US22502540_251271410527_S01_A01.txt","Negative"
"30","US22502540_251271410100_S01_A02.txt","Negative"
"31","US22502540_251271410555_S01_A02.txt","Negative"
"32","US22502540_251271410548_S01_A02.txt","Negative"
"33","US22502540_251271410597_S01_A01.txt","Negative"
"34","US22502540_251271410043_S01_A01.txt","Positive"
"35","US22502540_251271410545_S01_A01.txt","Negative"
"36","US22502540_251271410522_S01_A02.txt","Negative"
"37","US22502540_251271410221_S01_A01.txt","Negative"
"38","US22502540_251271410546_S01_A02.txt","Positive"
"39","US22502540_251271410571_S01_A01.txt","Negative"
"40","US22502540_251271410146_S01_A02.txt","Negative"
"41","US22502540_251271410411_S01_A02.txt","Negative"
"42","US22502540_251271410564_S01_A01.txt","Negative"
"43","US22502540_251271410324_S01_A02.txt","Positive"
"44","US22502540_251271410127_S01_A02.txt","Negative"
"45","US22502540_251271410252_S01_A02.txt","Negative"
"46","US22502540_251271410528_S01_A01.txt","Negative"
"47","US22502540_251271410600_S01_A01.txt","Negative"
"48","US22502540_251271410005_S01_A02.txt","Positive"
"49","US22502540_251271410524_S01_A02.txt","Negative"
"50","US22502540_251271410626_S01_A01.txt","Negative"
"51","US22502540_251271410598_S01_A02.txt","Negative"
"52","US22502540_251271410334_S01_A02.txt","Positive"
"53","US22502540_251271410631_S01_A02.txt","Positive"
"54","US22502540_251271410601_S01_A02.txt","Negative"
"55","US22502540_251271410554_S01_A01.txt","Negative"
"56","US22502540_251271410064_S01_A01.txt","Negative"
"57","US22502540_251271410647_S01_A02.txt","Negative"
"58","US22502540_251271410502_S01_A02.txt","Positive"
"59","US22502540_251271410110_S01_A01.txt","Negative"
"60","US22502540_251271410374_S01_A02.txt","Negative"
"61","US22502540_251271410222_S01_A02.txt","Positive"
"62","US22502540_251271410160_S01_A02.txt","Negative"
"63","US22502540_251271410523_S01_A02.txt","Negative"
"64","US22502540_251271410544_S01_A02.txt","Negative"
"65","US22502540_251271410535_S01_A01.txt","Negative"
"66","US22502540_251271410094_S01_A02.txt","Negative"
"67","US22502540_251271410640_S01_A02.txt","Negative"
"68","US22502540_251271410630_S01_A01.txt","Negative"
"69","US22502540_251271410652_S01_A02.txt","Negative"
"70","US22502540_251271410442_S01_A02.txt","Negative"
"71","US22502540_251271410646_S01_A02.txt","Positive"
"72","US22502540_251271410053_S01_A02.txt","Negative"
"73","US22502540_251271410091_S01_A02.txt","Negative"
"74","US22502540_251271410099_S01_A02.txt","Negative"
"75","US22502540_251271410059_S01_A02.txt","Negative"
"76","US22502540_251271410609_S01_A01.txt","Positive"
"77","US22502540_251271410135_S01_A01.txt","Negative"
"78","US22502540_251271410639_S01_A01.txt","Positive"
"79","US22502540_251271410072_S01_A01.txt","Negative"
"80","US22502540_251271410114_S01_A01.txt","Negative"
"81","US22502540_251271410628_S01_A02.txt","Negative"
"82","US22502540_251271410329_S01_A01.txt","Positive"
"83","US22502540_251271410540_S01_A02.txt","Negative"
"84","US22502540_251271410321_S01_A01.txt","Positive"
"85","US22502540_251271410551_S01_A01.txt","Negative"
"86","US22502540_251271410220_S01_A01.txt","Negative"
"87","US22502540_251271410002_S01_A01.txt","Positive"
"88","US22502540_251271410069_S01_A01.txt","Negative"
"89","US22502540_251271410369_S01_A02.txt","Negative"
"90","US22502540_251271410217_S01_A01.txt","Negative"
"91","US22502540_251271410154_S01_A01.txt","Positive"
"92","US22502540_251271410602_S01_A02.txt","Positive"
"93","US22502540_251271410256_S01_A01.txt","Negative"
"94","US22502540_251271410632_S01_A01.txt","Negative"
"95","US22502540_251271410569_S01_A01.txt","Negative"
"96","US22502540_251271410029_S01_A01.txt","Negative"
"97","US22502540_251271410042_S01_A01.txt","Negative"
"98","US22502540_251271410082_S01_A01.txt","Positive"
"99","US22502540_251271410088_S01_A01.txt","Negative"
"100","US22502540_251271410621_S01_A02.txt","Negative"
"101","US22502540_251271410553_S01_A02.txt","Negative"
"102","US22502540_251271410081_S01_A01.txt","Negative"
"103","US22502540_251271410533_S01_A01.txt","Negative"
"104","US22502540_251271410532_S01_A02.txt","Positive"
"105","US22502540_251271410295_S01_A01.txt","Negative"
"106","US22502540_251271410032_S01_A01.txt","Negative"
"107","US22502540_251271410124_S01_A01.txt","Positive"
"108","US22502540_251271410105_S01_A01.txt","Negative"
"109","US22502540_251271410089_S01_A01.txt","Positive"
"110","US22502540_251271410115_S01_A02.txt","Negative"
"111","US22502540_251271410104_S01_A01.txt","Negative"
"112","US22502540_251271410003_S01_A01.txt","Negative"
"113","US22502540_251271410276_S01_A01.txt","Positive"
"114","US22502540_251271410275_S01_A02.txt","Negative"
"115","US22502540_251271410525_S01_A01.txt","Positive"
"116","US22502540_251271410566_S01_A01.txt","Positive"
"117","US22502540_251271410133_S01_A01.txt","Negative"
"118","US22502540_251271410125_S01_A01.txt","Negative"
"119","US22502540_251271410164_S01_A01.txt","Positive"
"120","US22502540_251271410049_S01_A01.txt","Positive"
"121","US22502540_251271410250_S01_A01.txt","Negative"
"122","US22502540_251271410179_S01_A01.txt","Negative"
"123","US22502540_251271410062_S01_A01.txt","Negative"
"124","US22502540_251271410097_S01_A01.txt","Positive"
"125","US22502540_251271410563_S01_A02.txt","Negative"
"126","US22502540_251271410098_S01_A01.txt","Negative"
"127","US22502540_251271410332_S01_A01.txt","Positive"
"128","US22502540_251271410327_S01_A02.txt","Positive"
"129","US22502540_251271410052_S01_A01.txt","Negative"
"130","US22502540_251271410650_S01_A02.txt","Negative"
"131","US22502540_251271410500_S01_A01.txt","Positive"
"132","US22502540_251271410184_S01_A01.txt","Negative"
"133","US22502540_251271410274_S01_A01.txt","Negative"
"134","US22502540_251271410092_S01_A01.txt","Positive"
"135","US22502540_251271410067_S01_A02.txt","Negative"
"136","US22502540_251271410162_S01_A01.txt","Negative"
"137","US22502540_251271410054_S01_A01.txt","Negative"
"138","US22502540_251271410562_S01_A01.txt","Negative"
"139","US22502540_251271410060_S01_A01.txt","Negative"
"140","US22502540_251271410294_S01_A01.txt","Positive"
"141","US22502540_251271410561_S01_A01.txt","Negative"
"142","US22502540_251271410530_S01_A02.txt","Negative"
"143","US22502540_251271410149_S01_A02.txt","Negative"
"144","US22502540_251271410123_S01_A01.txt","Negative"
"145","US22502540_251271410166_S01_A02.txt","Negative"
"146","US22502540_251271410604_S01_A01.txt","Negative"
"147","US22502540_251271410047_S01_A02.txt","Negative"
"148","US22502540_251271410526_S01_A01.txt","Negative"
"149","US22502540_251271410087_S01_A02.txt","Negative"
"150","US22502540_251271410643_S01_A01.txt","Positive"
"151","US22502540_251271410596_S01_A02.txt","Negative"
"152","US22502540_251271410001_S01_A02.txt","Negative"
"153","US22502540_251271410041_S01_A01.txt","Negative"
"154","US22502540_251271410120_S01_A02.txt","Negative"
"155","US22502540_251271410096_S01_A01.txt","Negative"
"156","US22502540_251271410649_S01_A01.txt","Negative"
"157","US22502540_251271410182_S01_A02.txt","Negative"
"158","US22502540_251271410541_S01_A01.txt","Negative"
"159","US22502540_251271410106_S01_A01.txt","Positive"
"160","US22502540_251271410050_S01_A01.txt","Negative"
"161","US22502540_251271410372_S01_A01.txt","Negative"
"162","US22502540_251271410330_S01_A01.txt","Positive"
"163","US22502540_251271410083_S01_A01.txt","Negative"
"164","US22502540_251271410057_S01_A01.txt","Negative"
"165","US22502540_251271410159_S01_A02.txt","Negative"
"166","US22502540_251271410560_S01_A01.txt","Negative"
"167","US22502540_251271410504_S01_A01.txt","Positive"
"168","US22502540_251271410113_S01_A02.txt","Negative"
"169","US22502540_251271410136_S01_A02.txt","Positive"
"170","US22502540_251271410651_S01_A02.txt","Positive"
"171","US22502540_251271410090_S01_A02.txt","Positive"
"172","US22502540_251271410183_S01_A02.txt","Negative"
"173","US22502540_251271410574_S01_A02.txt","Negative"
"174","US22502540_251271410178_S01_A01.txt","Positive"
"175","US22502540_251271410290_S01_A01.txt","Negative"
"176","US22502540_251271410058_S01_A01.txt","Negative"
"177","US22502540_251271410132_S01_A02.txt","Negative"
"178","US22502540_251271410331_S01_A02.txt","Positive"
"179","US22502540_251271410277_S01_A02.txt","Negative"
"180","US22502540_251271410031_S01_A02.txt","Negative"
"181","US22502540_251271410619_S01_A01.txt","Negative"
"182","US22502540_251271410497_S01_A01.txt","Positive"
"183","US22502540_251271410644_S01_A01.txt","Negative"
"184","US22502540_251271410061_S01_A02.txt","Negative"
"185","US22502540_251271410326_S01_A01.txt","Positive"
"186","US22502540_251271410599_S01_A01.txt","Negative"
"187","US22502540_251271410028_S01_A01.txt","Positive"
"188","US22502540_251271410066_S01_A01.txt","Negative"
"189","US22502540_251271410521_S01_A02.txt","Negative"
"190","US22502540_251271410622_S01_A02.txt","Negative"
"191","US22502540_251271410071_S01_A02.txt","Negative"
"192","US22502540_251271410048_S01_A02.txt","Negative"
"193","US22502540_251271410507_S01_A02.txt","Positive"
"194","US22502540_251271410007_S01_A01.txt","Positive"
"195","US22502540_251271410638_S01_A02.txt","Negative"
"196","US22502540_251271410165_S01_A02.txt","Negative"
"197","US22502540_251271410539_S01_A01.txt","Negative"
"198","US22502540_251271410552_S01_A01.txt","Negative"
"199","US22502540_251271410629_S01_A02.txt","Negative"
"200","US22502540_251271410181_S01_A01.txt","Negative"
"201","US22502540_251271410610_S01_A01.txt","Positive"
"202","US22502540_251271410095_S01_A01.txt","Negative"
"203","US22502540_251271410157_S01_A02.txt","Positive"
"204","US22502540_251271410292_S01_A01.txt","Positive"
"205","US22502540_251271410111_S01_A02.txt","Negative"
"206","US22502540_251271410056_S01_A01.txt","Negative"
"207","US22502540_251271410534_S01_A01.txt","Negative"
"208","US22502540_251271410121_S01_A01.txt","Negative"
"209","US22502540_251271410503_S01_A02.txt","Positive"
"210","US22502540_251271410148_S01_A02.txt","Negative"
"211","US22502540_251271410085_S01_A01.txt","Positive"
"212","US22502540_251271410122_S01_A02.txt","Negative"
"213","US22502540_251271410168_S01_A01.txt","Negative"
"214","US22502540_251271410102_S01_A02.txt","Negative"
"215","US22502540_251271410529_S01_A02.txt","Negative"
"216","US22502540_251271410279_S01_A01.txt","Positive"
"217","US22502540_251271410624_S01_A01.txt","Negative"
"218","US22502540_251271410055_S01_A01.txt","Positive"
"219","US22502540_251271410151_S01_A02.txt","Positive"
"220","US22502540_251271410568_S01_A02.txt","Negative"
"221","US22502540_251271410335_S01_A02.txt","Positive"
"222","US22502540_251271410177_S01_A01.txt","Negative"
"223","US22502540_251271410325_S01_A01.txt","Positive"
"224","US22502540_251271410653_S01_A02.txt","Negative"
"225","US22502540_251271410026_S01_A02.txt","Negative"
"226","US22502540_251271410289_S01_A02.txt","Negative"
"227","US22502540_251271410253_S01_A01.txt","Negative"
"228","US22502540_251271410167_S01_A01.txt","Negative"
"229","US22502540_251271410084_S01_A01.txt","Negative"
"230","US22502540_251271410065_S01_A01.txt","Positive"
"231","US22502540_251271410070_S01_A02.txt","Negative"
"232","US22502540_251271410025_S01_A02.txt","Positive"
"233","US22502540_251271410046_S01_A01.txt","Negative"
"234","US22502540_251271410086_S01_A02.txt","Positive"
"235","US22502540_251271410567_S01_A02.txt","Positive"
"236","US22502540_251271410006_S01_A02.txt","Negative"
"237","US22502540_251271410030_S01_A01.txt","Positive"
"238","US22502540_251271410150_S01_A01.txt","Positive"
"239","US22502540_251271410278_S01_A02.txt","Negative"
"240","US22502540_251271410107_S01_A02.txt","Positive"
"241","US22502540_251271410254_S01_A02.txt","Negative"
"242","US22502540_251271410293_S01_A01.txt","Negative"
"243","US22502540_251271410101_S01_A02.txt","Negative"
"244","US22502540_251271410129_S01_A01.txt","Negative"
"245","US22502540_251271410147_S01_A02.txt","Positive"
"246","US22502540_251271410109_S01_A01.txt","Positive"
