"","column","row","Reporter.identifier","Feature.Extraction.Software.LogRatio","gene"
"1",1,1,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1",-1.352654449,NA
"2",1,2,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.107",-0.38791872,NA
"3",1,3,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.213",-0.008905159,NA
"4",1,4,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.319",-0.073653265,NA
"5",1,5,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.425",-0.028204125,NA
"6",1,6,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.532",-0.035705853,NA
"7",1,7,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.638",0.058221612,NA
"8",1,8,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.745",-0.109485861,NA
"9",1,9,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.851",-0.023044544,NA
"10",1,10,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.956",-0.026072025,NA
"11",1,11,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1061",0,NA
"12",1,12,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1168",0.008922273,NA
"13",1,13,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1274",0.006003095,NA
"14",1,14,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1379",-0.110524393,NA
"15",1,15,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1485",0.014456241,NA
"16",1,16,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1589",0.427763272,NA
"17",1,17,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1695",-0.032542756,NA
"18",1,18,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1802",-0.230778183,NA
"19",1,19,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1907",-0.049314881,NA
"20",1,20,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2013",0.246212457,NA
"21",1,21,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2119",0.044020994,NA
"22",1,22,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2226",-0.147279129,NA
"23",1,23,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2332",0,NA
"24",1,24,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2439",0.024897922,NA
"25",1,25,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2545",0.104958787,NA
"26",1,26,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2651",-0.415259163,NA
"27",1,27,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2758",0.034678471,NA
"28",1,28,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2865",-0.086879668,NA
"29",1,29,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2971",-0.050772251,NA
"30",1,30,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.3077",0,NA
"31",1,31,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.3184",-0.027093683,NA
"32",1,32,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.3291",0.058886657,NA
"33",1,33,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.3397",-0.142516595,NA
"34",1,34,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.3503",-0.008230909,NA
"35",1,35,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.3607",-0.011757796,NA
"36",1,36,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.3714",0.086394084,NA
"37",1,37,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.3821",-0.084954467,NA
"38",1,38,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.3927",-0.185963235,NA
"39",1,39,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.4033",-0.009645154,NA
"40",1,40,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.4139",-0.056156638,NA
"41",1,41,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.4242",-0.636428449,NA
"42",1,42,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.4348",-0.377097179,NA
"43",1,43,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.4455",-0.053323334,NA
"44",1,44,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.4561",0.23857724,NA
"45",1,45,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.4665",-0.030512621,NA
"46",1,46,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.4772",0.340616675,NA
"47",1,47,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.4877",-0.250616513,NA
"48",1,48,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.4983",0.141046075,NA
"49",1,49,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.5090",-0.29695404,NA
"50",1,50,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.5196",0.182564119,NA
"51",1,51,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.5301",-0.143257309,NA
"52",1,52,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.5407",-0.177542946,NA
"53",1,53,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.5513",-0.247527791,NA
"54",1,54,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.5619",0.078923943,NA
"55",1,55,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.5726",-2,NA
"56",1,56,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.5832",-0.036964683,NA
"57",1,57,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.5937",-0.479279995,NA
"58",1,58,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.6044",-0.325100517,NA
"59",1,59,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.6150",-0.102535304,NA
"60",1,60,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.6256",-0.076951803,NA
"61",1,61,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.6361",0.012047199,NA
"62",1,62,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.6468",0.036272832,NA
"63",1,63,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.6575",0.070221933,NA
"64",1,64,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.6681",0.144338773,NA
"65",1,65,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.6788",-0.293326045,NA
"66",1,66,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.6895",-0.144004405,NA
"67",1,67,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.7001",0.080604058,NA
