"gene_reject","adj_pvalues","mu_hat","sd","statistic","regulate"
"NUDT9",2.44676818767834e-08,0.247130487971329,0.373382078703457,5.57701781616145,"Up"
"BCCIP",2.07356899123372e-07,0.205220074451637,0.333014087562746,5.19261841577823,"Up"
"FBXO45",4.55416126951768e-07,0.155127223940727,0.259134154474833,5.04420278164678,"Up"
"DNAJC9",5.86439864207169e-07,0.213361182801255,0.359877185180755,4.99563005407649,"Up"
"GTPBP4",6.53596277749597e-07,0.201342838016222,0.341036824504203,4.97466779825757,"Up"
"NAA50",1.87413184157631e-06,0.170357090835492,0.301152046711255,4.76654360472863,"Up"
"PNN",3.12554037064108e-06,0.218949130475236,0.395697720007739,4.66239271243461,"Up"
"IDI1",4.21135278720694e-06,0.21450563663029,0.392868177708639,4.60066944586646,"Up"
"MARK3",5.72640837576762e-06,0.123995447885418,0.230323479414032,4.53624709791948,"Up"
"TSEN34",5.9974670962252e-06,0.154611438000265,0.287812944638129,4.5264785948888,"Up"
"CRLS1",6.19195631248244e-06,0.188473153497816,0.351371484624961,4.51972652615943,"Up"
"VBP1",7.67074513518849e-06,0.173824654471747,0.327361597413781,4.47417346573563,"Up"
"TH2LCRR",1.07995602209868e-05,0.16037249179107,0.307083026071391,4.40051230644997,"Up"
"SEC13",1.1502053082796e-05,0.202585148915663,0.389123162662095,4.38681880283476,"Up"
"SMNDC1",1.16004325830023e-05,0.175330641818371,0.336915387632325,4.38496519310354,"Up"
"SLC33A1",1.29196453540353e-05,0.108155739291843,0.208952074942795,4.36146163349269,"Up"
"PRPS1",1.34347915166997e-05,0.185742763487898,0.3595524904886,4.35290085824707,"Up"
"OPA1",1.52105684604723e-05,0.146544219085513,0.285463001368228,4.3256167436385,"Up"
"ABCB7",1.91536030175326e-05,0.157717240361003,0.310899051467151,4.27453568231384,"Up"
"ERI1",1.99765579723303e-05,0.140587931903474,0.27774269045732,4.26515264387066,"Up"
"GLRX3",2.14104509875662e-05,0.196985579515676,0.390580372464113,4.24965029779507,"Up"
"ECPAS",2.20936727762174e-05,0.211999009332984,0.421046493191522,4.24260843705018,"Up"
"ZNF330",2.31887695042525e-05,0.141689087971209,0.282128094507332,4.23174260101609,"Up"
"FADD",2.8521807264854e-05,0.173396236510667,0.349122368223439,4.18495860456844,"Up"
"PPAT",2.94931133084663e-05,0.1760316542805,0.355074570136499,4.17734529177149,"Up"
"CEBPG",3.55915293990822e-05,0.181083795991154,0.369061251399952,4.13437926828906,"Up"
"ELMOD2",3.58365006731092e-05,0.193323776039931,0.394157397170414,4.13280355340932,"Up"
"FAIM2",3.62947140300898e-05,0.121877874186386,0.248665907291836,4.12988347745471,"Up"
"RRM2",3.72730201303398e-05,0.213226247367725,0.43568839891798,4.12376437002868,"Up"
"CCDC51",3.83825617267961e-05,0.137027953927269,0.280450886940248,4.11700628049387,"Up"
"GGCT",4.15921804361545e-05,0.240381025294432,0.494207651970259,4.09845236852479,"Up"
"CHIC2",4.22099272430682e-05,0.142314404675324,0.292833059992761,4.09503793289035,"Up"
"NR1D2",4.22881929822054e-05,0.196233258013567,0.403821447282351,4.09460872776417,"Up"
"COPB2",4.24362714916685e-05,0.152267654375531,0.313408192660624,4.09379873093429,"Up"
"UBA5",4.31325815869001e-05,0.148742463762078,0.306434834123758,4.09002547270573,"Up"
"HNRNPAB",4.39078123566537e-05,0.252695907359663,0.521123318035745,4.08589193534259,"Up"
"SLC25A22",4.45751748692838e-05,0.199134533839724,0.411018538285514,4.08238862934107,"Up"
"HSPA5",5.7081508112098e-05,0.224329459267749,0.469674395796923,4.02456177990807,"Up"
"IPO4",5.75897679856215e-05,0.184613968578179,0.386723335397415,4.02247500234663,"Up"
