Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04360:Axon guidance	23	2.295409182	2.50E-04	"ITGB1, CAMK2B, EPHA5, ROBO3, TRPC5, BMPR2, ROCK2, LIMK2, PIK3CD, UNC5D, GNAI1, RGMA, GNAI2, CDC42, ABLIM1, FYN, PLXNC1, SRGAP3, SRGAP2, CAMK2G, PAK5, EPHB3, MAPK3"	467	184	8865	2.372858672	0.077477436	0.079868619	0.07813772
KEGG_PATHWAY	hsa03013:Nucleocytoplasmic transport	16	1.596806387	4.95E-04	"SEC13, NUP107, NCBP1, RBM8A, NUP155, CSE1L, IPO7, IPO4, PNN, TMEM33, NUP50, XPO6, SUMO3, NUP62, NUP88, NUP37"	467	108	8865	2.812276945	0.147665948	0.079868619	0.07813772
KEGG_PATHWAY	hsa05014:Amyotrophic lateral sclerosis	35	3.493013972	0.001049456	"NDUFB9, COX7B, NUP107, NDUFB10, ATP5MC3, CASP9, PSMD6, TUBB3, KIF5C, PSMD2, NUP62, NUP88, NDUFV1, RAB8A, MAP2K6, SEC13, NCBP1, NUP155, HSPA5, FUS, MAPK13, MAPK11, PSMA3, TUBB2A, PSMC3, PSMA1, VAPB, NUP50, NDUFAB1, ULK2, ULK1, VDAC1, TARDBP, PFN2, NUP37"	467	371	8865	1.790836734	0.287626153	0.087737994	0.085836552
KEGG_PATHWAY	hsa04912:GnRH signaling pathway	14	1.397205589	0.001086539	"CAMK2B, MAP3K2, MAP2K4, PRKCB, PLA2G4B, MAPK13, CDC42, MAPK11, MAPK7, GNAS, CAMK2G, PRKACB, MAP2K6, MAPK3"	467	93	8865	2.857636251	0.296116751	0.087737994	0.085836552
KEGG_PATHWAY	hsa04728:Dopaminergic synapse	17	1.696606786	0.001469077	"CAMK2B, DDC, PRKCB, ARRB2, GNAI1, MAPK13, GNAI2, GNAO1, MAPK11, KIF5C, GNB1, GNAS, GNB5, CAMK2G, DRD3, PRKACB, CREB5"	467	132	8865	2.444763481	0.378028335	0.094902371	0.092845663
KEGG_PATHWAY	hsa05022:Pathways of neurodegeneration - multiple diseases	41	4.091816367	0.00267217	"CAMK2B, NDUFB9, COX7B, NDUFB10, ATP2A3, ATP5MC3, CASP9, ATXN3, PSMD6, ATXN1, TUBB3, KIF5C, PSMD2, MFN2, FADD, CAMK2G, NDUFV1, RAB8A, MAPK3, MAP2K6, HSPA5, PRKCB, FUS, CSNK2A2, SEPTIN5, MAPK13, MAPK11, PSMA3, TUBB2A, PSMC3, PSMA1, VAPB, DLG4, NDUFAB1, ULK2, ULK1, CHRFAM7A, VDAC1, TARDBP, STX1A, CSNK1A1L"	467	483	8865	1.611382287	0.578639389	0.133818919	0.130918818
KEGG_PATHWAY	hsa04725:Cholinergic synapse	15	1.497005988	0.002963993	"CAMK2B, ACHE, PRKCB, PIK3CD, GNAI1, GNAI2, GNAO1, GNB1, FYN, CHRFAM7A, GNB5, CAMK2G, PRKACB, CREB5, MAPK3"	467	116	8865	2.454681385	0.616644099	0.133818919	0.130918818
KEGG_PATHWAY	hsa04926:Relaxin signaling pathway	16	1.596806387	0.0033144	"MAP2K4, PIK3CD, ARRB2, MMP9, GNAI1, MAPK13, TGFBR2, GNAI2, GNAO1, MAPK11, GNB1, GNAS, GNB5, PRKACB, CREB5, MAPK3"	467	130	8865	2.336353154	0.657789556	0.133818919	0.130918818
KEGG_PATHWAY	hsa04750:Inflammatory mediator regulation of TRP channels	13	1.29740519	0.005546232	"CAMK2B, PRKCB, PLA2G4B, TRPV2, PIK3CD, NGF, MAPK13, MAPK11, GNAS, ASIC2, CAMK2G, PRKACB, MAP2K6"	467	99	8865	2.492700019	0.834108132	0.192296081	0.188128674
KEGG_PATHWAY	hsa05020:Prion disease	26	2.594810379	0.005953439	"NDUFB9, COX7B, NDUFB10, ATP5MC3, PIK3CD, CASP9, PSMD6, TUBB3, KIF5C, PSMD2, NCAM1, FYN, NDUFV1, PRKACB, MAPK3, HSPA5, CSNK2A2, MAPK13, MAPK11, PSMA3, TUBB2A, PSMC3, PSMA1, NDUFAB1, VDAC1, CREB5"	467	278	8865	1.775376273	0.854664112	0.192296081	0.188128674
