"miRNA_reject","adj_pvalues","mu_hat","sd","statistic","regulate"
"hsa-miR-484",1.19917411502895e-05,0.100699803311622,0.225379534760057,4.377737944569,"Up"
"hsa-miR-151-5p",4.60098693596655e-08,0.362921172900386,0.650536993381326,5.46607925146693,"Up"
"hsa-miR-200b",5.90881838068227e-05,-0.57758646099573,1.40900711730214,-4.01642289639646,"Down"
"hsa-miR-132",1.86305300506977e-11,-0.401518982511804,0.58574282968835,-6.71637161802692,"Down"
"hiv1-miR-H1",4.6253103208827e-06,0.262363003217688,0.561136087467862,4.58110251413351,"Up"
"hsa-miR-218-2*",1.67242106448326e-08,-0.0944041754141536,0.16391815243852,-5.64286641626477,"Down"
"hsa-miR-9",5.56867338891471e-34,-1.31752220499126,1.06225918754299,-12.1524282015573,"Down"
"hsa-miR-3911",3.74534149350982e-09,-0.268342333886835,0.446001396576744,-5.89506489849924,"Down"
"hsa-miR-34b*",8.16894830055458e-11,-1.37301427829252,2.07046222744144,-6.4974561656764,"Down"
"hsa-miR-493*",2.41753180517246e-05,0.211999914487885,0.491943949409425,4.22236408544014,"Up"
"hsa-let-7g",1.03977334640375e-12,-0.569836662775957,0.78359705474393,-7.12513683955913,"Down"
"hsa-miR-145*",3.52286156638414e-07,-0.186335094884027,0.358467234633508,-5.09308365776412,"Down"
"hsa-miR-215",8.23375523446345e-06,-0.308031984544616,0.676850254754017,-4.45901397711902,"Down"
"hsa-miR-29a",1.21368087316174e-18,0.785177728002442,0.872887680852254,8.81343537407223,"Up"
"hsa-miR-152",1.36373506416639e-08,0.119703419058438,0.206564593840775,5.67788102903511,"Up"
"hsa-miR-373*",2.35174989943856e-09,-0.241140387980355,0.395664261070009,-5.97143553305788,"Down"
"hsa-miR-3665",1.0491762380485e-05,-0.334155611422312,0.742955488552727,-4.40678213047109,"Down"
"hsa-miR-3926",1.04433049222782e-07,-0.221514026401485,0.408056428917636,-5.31883628930703,"Down"
"hsa-miR-127-3p",3.22836163634696e-18,0.675735010068425,0.760740010723879,8.70313617093487,"Up"
"hsa-miR-449a",1.09473640315935e-17,-3.28855314970087,3.76260134728216,-8.56351918824264,"Down"
"hsa-miR-25",4.54732502802955e-05,0.307257940998957,0.738274609984928,4.07775190795733,"Up"
"hsa-miR-21*",3.22942569966756e-14,0.532818916082967,0.687928880784539,7.58877556190202,"Up"
"hsa-miR-4270",4.75613857423003e-06,0.401952295934078,0.860783079534412,4.57526663517233,"Up"
"hsa-miR-370",2.01653570481589e-05,0.111454419576514,0.256160570152708,4.26305199707782,"Up"
"hsa-miR-521",6.33018855216529e-07,0.308571492545318,0.60699758864312,4.98086134144065,"Up"
"hsa-miR-143",4.73525646834476e-12,-0.770504111568121,1.09200725258197,-6.91329444413817,"Down"
"hsa-miR-99b",4.9021881861919e-26,0.732192286724666,0.679783726141663,10.5533417591893,"Up"
"hsa-miR-378",2.04929920072626e-31,0.934854976546828,0.785588424440988,11.6596304364883,"Up"
"hsa-miR-3911",4.70723546871281e-09,-0.247631505646683,0.414239140929597,-5.8572044323025,"Down"
"hsa-miR-221*",1.35821296923446e-05,0.18334488655789,0.412918416524145,4.35050994136549,"Up"
"hsa-miR-3170",1.26994123517344e-06,-0.145433939101301,0.294144874519953,-4.84440114977458,"Down"
"hsa-miR-324-5p",3.60066845909189e-05,0.294884849318407,0.699290663994719,4.13171489853069,"Up"
"hsa-miR-490-3p",8.22803814341689e-05,-0.0967629960792549,0.240772460336481,-3.9376590835325,"Down"
"hsa-miR-370",2.18821289806496e-14,0.330044420272403,0.423319580124969,7.63905531496002,"Up"
"hsa-miR-143",1.30026693145341e-09,-0.356418034533232,0.575566146478147,-6.06736393427015,"Down"
"hsa-miR-222",1.64452160807228e-11,0.418932686610186,0.609497721364274,6.73453752359441,"Up"
"hsa-miR-135a",1.10585313520214e-05,0.397979563679411,0.887158379206082,4.39536787080761,"Up"
"hsa-miR-140-5p",1.15856869179639e-16,-0.578590332843937,0.684060001617735,-8.28729106933934,"Down"
"hsa-miR-223",4.10137988798027e-06,-0.642498502226129,1.36668066361553,-4.60617767662862,"Down"
"hsa-miR-1224-5p",6.52964166980771e-05,-0.169631772061532,0.416260091269102,-3.9928044453941,"Down"
"hsa-miR-34c-5p",3.54906501683698e-08,-1.20740538855058,2.14627072636946,-5.51193673435337,"Down"
"hsa-miR-3147",4.84184265381556e-06,-0.0849520239257656,0.182074075794196,-4.57152640379277,"Down"
"hsa-miR-379",9.58660923319382e-07,0.225622922649071,0.45115742066109,4.89993966146749,"Up"
"hsa-miR-103a",1.0783801097185e-11,0.434320454225705,0.626204213504102,6.79563295656315,"Up"
"hsa-miR-409-3p",2.5718134404836e-10,0.300206218419381,0.465220546282306,6.32261028550336,"Up"
"kshv-miR-K12-2*",9.12656028902629e-06,-0.0619714946858985,0.136851132168025,-4.43689542565636,"Down"
"hsa-miR-4298",6.28043872042922e-05,-0.242975511993381,0.594865840521128,-4.00201849784407,"Down"
"hsa-miR-452",1.58074710386566e-09,0.40041984967024,0.649993261061668,6.03590451366837,"Up"
"hsa-miR-126",5.67337373918516e-07,-0.359116638940391,0.70343832408452,-5.00201648633272,"Down"
"hsa-miR-551b",1.40352837433289e-13,0.60004311704715,0.79491637069502,7.3959954260323,"Up"
"hsa-miR-30e",5.59395455494708e-10,0.421956674891009,0.666667216106682,6.20146617126603,"Up"
"hsa-miR-100",3.85758575138558e-07,0.697659471359901,1.34669718885064,5.07585441834957,"Up"
"hsa-miR-196a",2.62145257895257e-06,-0.632836420724598,1.31969207970719,-4.69844851010537,"Down"
"hsa-miR-375",1.34912592703157e-30,-0.755390874786675,0.643698879444656,-11.4980607154595,"Down"
"hsa-miR-598",3.97897562647763e-06,0.102099216544919,0.21688212621679,4.61247753395767,"Up"
"hsa-miR-365",1.22671106534524e-08,0.380971612545458,0.655330524230903,5.69597186590296,"Up"
"hsa-miR-409-3p",1.29296308532249e-08,0.223339150346468,0.384784738361924,5.68699226756772,"Up"
"hsa-miR-660",2.49185734655943e-05,-0.369937337879654,0.859826825228672,-4.21553591035141,"Down"
"hsa-miR-186",5.84978072347387e-05,0.226119112433877,0.551286792730503,4.01878988473994,"Up"
