"miRNA_reject","adj_pvalues","mu_hat","sd","statistic","regulate"
"hsa-miR-373*",2.35174989943856e-09,-0.241140387980355,0.395664261070009,-5.97143553305788,"Down"
"hsa-miR-3665",1.0491762380485e-05,-0.334155611422312,0.742955488552727,-4.40678213047109,"Down"
"hsa-miR-3926",1.04433049222782e-07,-0.221514026401485,0.408056428917636,-5.31883628930703,"Down"
"hsa-miR-25",4.54732502802955e-05,0.307257940998957,0.738274609984928,4.07775190795733,"Up"
"hsa-miR-4270",4.75613857423003e-06,0.401952295934078,0.860783079534412,4.57526663517233,"Up"
"hsa-miR-370",2.01653570481589e-05,0.111454419576514,0.256160570152708,4.26305199707782,"Up"
"hsa-miR-3911",4.70723546871281e-09,-0.247631505646683,0.414239140929597,-5.8572044323025,"Down"
"hsa-miR-221*",1.35821296923446e-05,0.18334488655789,0.412918416524145,4.35050994136549,"Up"
"hsa-miR-3170",1.26994123517344e-06,-0.145433939101301,0.294144874519953,-4.84440114977458,"Down"
"hsa-miR-324-5p",3.60066845909189e-05,0.294884849318407,0.699290663994719,4.13171489853069,"Up"
"hsa-miR-490-3p",8.22803814341689e-05,-0.0967629960792549,0.240772460336481,-3.9376590835325,"Down"
"hsa-miR-135a",1.10585313520214e-05,0.397979563679411,0.887158379206082,4.39536787080761,"Up"
"hsa-miR-223",4.10137988798027e-06,-0.642498502226129,1.36668066361553,-4.60617767662862,"Down"
"hsa-miR-1224-5p",6.52964166980771e-05,-0.169631772061532,0.416260091269102,-3.9928044453941,"Down"
"hsa-miR-3147",4.84184265381556e-06,-0.0849520239257656,0.182074075794196,-4.57152640379277,"Down"
"hsa-miR-379",9.58660923319382e-07,0.225622922649071,0.45115742066109,4.89993966146749,"Up"
"hsa-miR-103a",1.0783801097185e-11,0.434320454225705,0.626204213504102,6.79563295656315,"Up"
"kshv-miR-K12-2*",9.12656028902629e-06,-0.0619714946858985,0.136851132168025,-4.43689542565636,"Down"
"hsa-miR-4298",6.28043872042922e-05,-0.242975511993381,0.594865840521128,-4.00201849784407,"Down"
"hsa-miR-126",5.67337373918516e-07,-0.359116638940391,0.70343832408452,-5.00201648633272,"Down"
"hsa-miR-30e",5.59395455494708e-10,0.421956674891009,0.666667216106682,6.20146617126603,"Up"
"hsa-miR-100",3.85758575138558e-07,0.697659471359901,1.34669718885064,5.07585441834957,"Up"
"hsa-miR-196a",2.62145257895257e-06,-0.632836420724598,1.31969207970719,-4.69844851010537,"Down"
"hsa-miR-598",3.97897562647763e-06,0.102099216544919,0.21688212621679,4.61247753395767,"Up"
"hsa-miR-365",1.22671106534524e-08,0.380971612545458,0.655330524230903,5.69597186590296,"Up"
"hsa-miR-409-3p",1.29296308532249e-08,0.223339150346468,0.384784738361924,5.68699226756772,"Up"
"hsa-miR-660",2.49185734655943e-05,-0.369937337879654,0.859826825228672,-4.21553591035141,"Down"
"hsa-miR-186",5.84978072347387e-05,0.226119112433877,0.551286792730503,4.01878988473994,"Up"
"hsa-miR-3130-3p",7.21651740391783e-07,-0.0804498591364324,0.159066344545866,-4.95544435438311,"Down"
"hsa-miR-135a",1.72708036165447e-05,0.331526003153319,0.755846831968379,4.29753494937678,"Up"
"hsa-miR-3188",2.64217404529979e-16,-0.41360843810509,0.494895815821403,-8.18862956022733,"Down"
"hsa-miR-223",5.58137827352169e-06,-0.719656679794972,1.55255373452681,-4.5416570551626,"Down"
"hsa-miR-4294",8.40449491288546e-07,-0.0901162620205488,0.17925363470025,-4.9257324091959,"Down"
"hsa-miR-1273e",3.65078321634197e-05,-0.0606570174046122,0.143952914462541,-4.128537237753,"Down"
"hsa-let-7e",2.64114761373896e-14,0.534199895602228,0.687355359623659,7.6147928232636,"Up"
"hsa-miR-125a-5p",8.24094561374359e-09,0.383268498725599,0.65156218325322,5.76345454349615,"Up"
"hsa-miR-1183",1.53452280347335e-06,-0.195242576388213,0.397982836140857,-4.80668656824412,"Down"
"hsa-miR-708",8.24382727884343e-05,0.155161805056027,0.386129590321803,3.93719890402297,"Up"
"hsa-miR-135a*",1.27035521510895e-05,0.237894862323636,0.533975709807143,4.36515005772846,"Up"
"hsa-miR-135b",4.17600420629549e-05,0.789992800459328,1.8890249187842,4.09751982063449,"Up"
"hsa-miR-224*",9.55477529593883e-06,0.135947721549586,0.300882497038491,4.42701124549435,"Up"
"hsa-miR-215",1.15528477613686e-05,-0.290384434851938,0.648715384919288,-4.38585987734642,"Down"
"hsa-miR-522",2.87823560605401e-05,0.178010867795786,0.416970600092485,4.18289245978491,"Up"
"hsa-miR-3198",1.44778194333797e-05,0.291321780309312,0.658219212861891,4.33648668269257,"Up"
"hsa-miR-154",1.61666663837745e-06,0.230582124086361,0.471042176742727,4.79624607481537,"Up"
"hsa-miR-301b",2.62738418652666e-05,0.384861445390796,0.897060615620141,4.20356950896016,"Up"
"hsa-miR-3154",5.01294537344096e-06,-0.112815467384363,0.242178337022669,-4.56424523485636,"Down"
"hsa-miR-582-5p",2.98441836687599e-06,0.283272370234005,0.594083227816507,4.67188927620349,"Up"
"hsa-miR-146a",4.26109709603247e-06,-0.69415406603163,1.47911334803438,-4.5982230284523,"Down"
"hsa-miR-377",2.55613731579127e-06,0.388550621129989,0.809380685941888,4.70360006133516,"Up"
"hsa-miR-193a-5p",4.32351275846677e-05,0.119191418093302,0.285570328266577,4.08947467083883,"Up"
"hsa-let-7d",1.04121296447962e-07,0.367420163843492,0.676764490481746,5.31938028832275,"Up"
"hsa-miR-96",1.39531483655944e-05,-0.60461230279348,1.36352493261141,-4.34459715002575,"Down"
"hsa-miR-34c-3p",1.73597224166857e-05,-0.288713253713637,0.658412423951358,-4.29639616660306,"Down"
"hsa-miR-1",3.06119192066434e-05,-0.260013944657062,0.61110289959303,-4.16886577263644,"Down"
"hsa-miR-145*",3.44841060440937e-08,-0.385909123041767,0.685358658690672,-5.51699713165162,"Down"
"hsa-miR-145",5.31354975126726e-07,-0.643537698462937,1.25739195578514,-5.01463043159034,"Down"
"hsa-miR-221*",2.81718948857387e-08,0.341114051659517,0.601938073932619,5.55243409143599,"Up"
"hsa-miR-582-5p",4.03569979233944e-06,0.303154363383636,0.644380357491187,4.60953531531777,"Up"
"hsa-miR-362-3p",2.03358805026897e-06,-0.403986016744903,0.833303261485135,-4.75005751198359,"Down"
"hsa-miR-192",2.27935469458793e-06,-0.403860000771431,0.837118486543481,-4.72693385852563,"Down"
"hsa-miR-365",1.54347404072548e-09,0.3791119072131,0.61501207705346,6.03975604859372,"Up"
"hsa-miR-141*",6.25293142145171e-06,0.144578410452065,0.313564107928065,4.51765140813212,"Up"
"hsa-miR-376a",1.04278190198607e-05,0.280358612490241,0.62315692243349,4.40810666381751,"Up"
"hsa-miR-522",4.38340788627195e-06,0.251193751899591,0.535934965885363,4.59232226218197,"Up"
"hsa-let-7g",3.44712733144689e-13,-0.570809899379159,0.768695420881998,-7.27566708803373,"Down"
"hsa-miR-376a",5.91146520447945e-07,0.455774097659802,0.894188593807417,4.99408730988303,"Up"
"hsa-miR-455-3p",1.05354848124254e-07,-0.355891732906461,0.655794098797008,-5.31723692478999,"Down"
"hsa-miR-27a",3.33015857443464e-07,0.435870919719656,0.836768763246992,5.10373424021145,"Up"
"hsa-miR-3149",7.67855706447354e-05,-0.319370189666141,0.791351537805086,-3.95421739323448,"Down"
"hsa-miR-3188",9.51185887912596e-15,-0.392030374198793,0.495905925673783,-7.74561730961113,"Down"
"hsa-miR-23a",1.65584393744675e-05,0.356382154989519,0.81075620260405,4.30686527147849,"Up"
"hsa-miR-4328",4.34543230670768e-07,-0.237521649669046,0.460548265716897,-5.05316717367391,"Down"
"hsa-miR-34a*",1.76640232365293e-05,-0.0647173013192139,0.147720783813478,-4.29254060720895,"Down"
"hsa-miR-376c",3.00126764348004e-06,0.374394837144634,0.785381055608837,4.67073305009035,"Up"
"hsa-miR-135b",2.30235201375638e-05,0.781640359256369,1.80908244627055,4.2333505506968,"Up"
