"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"	"V101"	"V102"	"V103"	"V104"	"V105"	"V106"	"V107"	"V108"	"V109"	"V110"	"V111"	"V112"	"V113"	"V114"	"V115"	"V116"	"V117"	"V118"	"V119"	"V120"	"V121"	"V122"	"V123"	"V124"	"V125"	"V126"	"V127"	"V128"	"V129"	"V130"	"V131"	"V132"	"V133"	"V134"	"V135"	"V136"	"V137"	"V138"	"V139"	"V140"	"V141"	"V142"	"V143"	"V144"	"V145"	"V146"	"V147"	"V148"	"V149"	"V150"	"V151"	"V152"	"V153"	"V154"	"V155"	"V156"	"V157"	"V158"	"V159"	"V160"	"V161"	"V162"
Cellular Processes	Cellular Processes	Genetic Information Processing	Cellular Processes	Organismal Systems	Genetic Information Processing	Environmental Information Processing	Human Diseases	Human Diseases	Cellular Processes	Genetic Information Processing	Human Diseases	Environmental Information Processing	Human Diseases	Human Diseases	Genetic Information Processing	Cellular Processes	Human Diseases	Cellular Processes	Human Diseases	Genetic Information Processing	Organismal Systems	Human Diseases	Cellular Processes	Environmental Information Processing	Organismal Systems	Environmental Information Processing	Human Diseases	Human Diseases	Environmental Information Processing	Human Diseases	Human Diseases	Human Diseases	Environmental Information Processing	Human Diseases	Genetic Information Processing	Cellular Processes	Environmental Information Processing	Human Diseases	Human Diseases	Human Diseases	Human Diseases	Environmental Information Processing	Human Diseases	Cellular Processes	Human Diseases	Human Diseases	Environmental Information Processing	Human Diseases	Human Diseases	Human Diseases	Human Diseases	Genetic Information Processing	Cellular Processes	Genetic Information Processing	Metabolism	Environmental Information Processing	Human Diseases	Organismal Systems	Human Diseases	Environmental Information Processing	Environmental Information Processing	Human Diseases	Genetic Information Processing	Genetic Information Processing	Human Diseases	Human Diseases	Human Diseases	Environmental Information Processing	Human Diseases	Environmental Information Processing	Environmental Information Processing	Human Diseases	Human Diseases	Human Diseases	Organismal Systems	Cellular Processes	Environmental Information Processing	Organismal Systems	Human Diseases	Metabolism	Organismal Systems	Environmental Information Processing	Human Diseases	Organismal Systems	Metabolism	Cellular Processes	Human Diseases	Cellular Processes	Human Diseases	Organismal Systems	Genetic Information Processing	Human Diseases	Cellular Processes	Human Diseases	Genetic Information Processing	Metabolism	Human Diseases	Cellular Processes	Metabolism	Human Diseases	Organismal Systems	Organismal Systems	Human Diseases	Genetic Information Processing	Metabolism	Genetic Information Processing	Human Diseases	Human Diseases	Human Diseases	Organismal Systems	Human Diseases	Human Diseases	Human Diseases	Human Diseases	Genetic Information Processing	Cellular Processes	Organismal Systems	Human Diseases	Human Diseases	Organismal Systems	Cellular Processes	Environmental Information Processing	Metabolism	Metabolism	Genetic Information Processing	Human Diseases	Organismal Systems	Human Diseases	Organismal Systems	Metabolism	Environmental Information Processing	Genetic Information Processing	Metabolism	Metabolism	Human Diseases	Cellular Processes	Metabolism	Human Diseases	NA	Organismal Systems	Environmental Information Processing	Organismal Systems	Human Diseases	Metabolism	Organismal Systems	Human Diseases	Organismal Systems	Environmental Information Processing	Organismal Systems	Organismal Systems	Metabolism	Organismal Systems	Metabolism	Human Diseases	Human Diseases	Metabolism	Metabolism	Environmental Information Processing	Metabolism	Metabolism	Organismal Systems
Cell growth and death	Transport and catabolism	Folding, sorting and degradation	Transport and catabolism	Development and regeneration	Folding, sorting and degradation	Signal transduction	Neurodegenerative disease	Infectious disease: bacterial	Cell growth and death	Chromosome	Cancer: overview	Signal transduction	Neurodegenerative disease	Cancer: overview	Chromosome	Cell growth and death	Neurodegenerative disease	Cellular community - eukaryotes	Cancer: specific types	Translation	Endocrine system	Infectious disease: bacterial	Transport and catabolism	Signal transduction	Nervous system	Signal transduction	Cancer: specific types	Infectious disease: viral	Signal transduction	Neurodegenerative disease	Endocrine and metabolic disease	Neurodegenerative disease	Signal transduction	Drug resistance: antineoplastic	Replication and repair	Cell motility	Signal transduction	Infectious disease: bacterial	Cancer: specific types	Cancer: specific types	Infectious disease: viral	Signal transduction	Cancer: specific types	Cellular community - eukaryotes	Cancer: specific types	Cancer: specific types	Signal transduction	Neurodegenerative disease	Cancer: overview	Infectious disease: bacterial	Cancer: specific types	Replication and repair	Transport and catabolism	Folding, sorting and degradation	Amino acid metabolism	Signal transduction	Infectious disease: bacterial	Aging	Endocrine and metabolic disease	Signal transduction	Signal transduction	Cancer: overview	Replication and repair	Information processing in viruses	Cancer: specific types	Drug resistance: antineoplastic	Cancer: specific types	Signal transduction	Infectious disease: viral	Signal transduction	Signal transduction	Infectious disease: bacterial	Neurodegenerative disease	Cancer: specific types	Endocrine system	Transport and catabolism	Signal transduction	Endocrine system	Cancer: specific types	Glycan biosynthesis and metabolism	Endocrine system	Signal transduction	Cancer: overview	Aging	Amino acid metabolism	Cell growth and death	Infectious disease: viral	Transport and catabolism	Infectious disease: viral	Immune system	Translation	Infectious disease: parasitic	Cell growth and death	Infectious disease: viral	Folding, sorting and degradation	Carbohydrate metabolism	Cardiovascular disease	Cellular community - eukaryotes	Carbohydrate metabolism	Cancer: specific types	Nervous system	Endocrine system	Cardiovascular disease	Transcription	Global and overview maps	Replication and repair	Cardiovascular disease	Cancer: overview	Endocrine and metabolic disease	Environmental adaptation	Endocrine and metabolic disease	Infectious disease: viral	Infectious disease: bacterial	Cancer: specific types	Folding, sorting and degradation	Cell growth and death	Endocrine system	Cancer: specific types	Infectious disease: viral	Nervous system	Cellular community - eukaryotes	Signal transduction	Global and overview maps	Global and overview maps	Transcription	Infectious disease: bacterial	Immune system	Cardiovascular disease	Environmental adaptation	Glycan biosynthesis and metabolism	Signal transduction	Folding, sorting and degradation	Lipid metabolism	Amino acid metabolism	Cancer: specific types	Cell growth and death	Lipid metabolism	Infectious disease: viral	NA	Endocrine system	Signal transduction	Nervous system	Substance dependence	Carbohydrate metabolism	Immune system	Infectious disease: viral	Endocrine system	Signal transduction	Environmental adaptation	Immune system	Carbohydrate metabolism	Endocrine system	Glycan biosynthesis and metabolism	Drug resistance: antineoplastic	Cancer: overview	Nucleotide metabolism	Energy metabolism	Signal transduction	Lipid metabolism	Global and overview maps	Excretory system
hsa04110	hsa04144	hsa04120	hsa04140	hsa04360	hsa04141	hsa04010	hsa05022	hsa05131	hsa04115	hsa03082	hsa05203	hsa04390	hsa05014	hsa05205	hsa03083	hsa04218	hsa05010	hsa04520	hsa05210	hsa03013	hsa04910	hsa05132	hsa04137	hsa04068	hsa04722	hsa04066	hsa05212	hsa05166	hsa04150	hsa05016	hsa04931	hsa05017	hsa04012	hsa01521	hsa03420	hsa04810	hsa04152	hsa05100	hsa05222	hsa05220	hsa05165	hsa04668	hsa05214	hsa04510	hsa05211	hsa05213	hsa04350	hsa05012	hsa05231	hsa05130	hsa05215	hsa03030	hsa04148	hsa03018	hsa00310	hsa04071	hsa05135	hsa04211	hsa04932	hsa04015	hsa04340	hsa05202	hsa03410	hsa03250	hsa05223	hsa01522	hsa05224	hsa04070	hsa05161	hsa04330	hsa04310	hsa05120	hsa05020	hsa05219	hsa04920	hsa04142	hsa04392	hsa04921	hsa05225	hsa00510	hsa04919	hsa04072	hsa05230	hsa04213	hsa00280	hsa04210	hsa05169	hsa04136	hsa05162	hsa04666	hsa03015	hsa05142	hsa04216	hsa05170	hsa03060	hsa00562	hsa05418	hsa04550	hsa00020	hsa05226	hsa04721	hsa04928	hsa05415	hsa03020	hsa01212	hsa03430	hsa05412	hsa05235	hsa04934	hsa04714	hsa04933	hsa05171	hsa05110	hsa05221	hsa03050	hsa04215	hsa04922	hsa05217	hsa05167	hsa04720	hsa04530	hsa04371	hsa01200	hsa01232	hsa03022	hsa05134	hsa04660	hsa05417	hsa04710	hsa00513	hsa04014	hsa04130	hsa00600	hsa00250	hsa05216	hsa04217	hsa00061	hsa05163	hsa04820	hsa04929	hsa04370	hsa04730	hsa05034	hsa00030	hsa04625	hsa05160	hsa04917	hsa04151	hsa04713	hsa04611	hsa00620	hsa04912	hsa00532	hsa01523	hsa05208	hsa00230	hsa00190	hsa04022	hsa00100	hsa01210	hsa04961
Cell cycle	Endocytosis	Ubiquitin mediated proteolysis	Autophagy - animal	Axon guidance	Protein processing in endoplasmic reticulum	MAPK signaling pathway	Pathways of neurodegeneration - multiple diseases	Shigellosis	p53 signaling pathway	ATP-dependent chromatin remodeling	Viral carcinogenesis	Hippo signaling pathway	Amyotrophic lateral sclerosis	Proteoglycans in cancer	Polycomb repressive complex	Cellular senescence	Alzheimer disease	Adherens junction	Colorectal cancer	Nucleocytoplasmic transport	Insulin signaling pathway	Salmonella infection	Mitophagy - animal	FoxO signaling pathway	Neurotrophin signaling pathway	HIF-1 signaling pathway	Pancreatic cancer	Human T-cell leukemia virus 1 infection	mTOR signaling pathway	Huntington disease	Insulin resistance	Spinocerebellar ataxia	ErbB signaling pathway	EGFR tyrosine kinase inhibitor resistance	Nucleotide excision repair	Regulation of actin cytoskeleton	AMPK signaling pathway	Bacterial invasion of epithelial cells	Small cell lung cancer	Chronic myeloid leukemia	Human papillomavirus infection	TNF signaling pathway	Glioma	Focal adhesion	Renal cell carcinoma	Endometrial cancer	TGF-beta signaling pathway	Parkinson disease	Choline metabolism in cancer	Pathogenic Escherichia coli infection	Prostate cancer	DNA replication	Efferocytosis	RNA degradation	Lysine degradation	Sphingolipid signaling pathway	Yersinia infection	Longevity regulating pathway	Non-alcoholic fatty liver disease	Rap1 signaling pathway	Hedgehog signaling pathway	Transcriptional misregulation in cancer	Base excision repair	Viral life cycle - HIV-1	Non-small cell lung cancer	Endocrine resistance	Breast cancer	Phosphatidylinositol signaling system	Hepatitis B	Notch signaling pathway	Wnt signaling pathway	Epithelial cell signaling in Helicobacter pylori infection	Prion disease	Bladder cancer	Adipocytokine signaling pathway	Lysosome	Hippo signaling pathway - multiple species	Oxytocin signaling pathway	Hepatocellular carcinoma	N-Glycan biosynthesis	Thyroid hormone signaling pathway	Phospholipase D signaling pathway	Central carbon metabolism in cancer	Longevity regulating pathway - multiple species	Valine, leucine and isoleucine degradation	Apoptosis	Epstein-Barr virus infection	Autophagy - other	Measles	Fc gamma R-mediated phagocytosis	mRNA surveillance pathway	Chagas disease	Ferroptosis	Human immunodeficiency virus 1 infection	Protein export	Inositol phosphate metabolism	Fluid shear stress and atherosclerosis	Signaling pathways regulating pluripotency of stem cells	Citrate cycle (TCA cycle)	Gastric cancer	Synaptic vesicle cycle	Parathyroid hormone synthesis, secretion and action	Diabetic cardiomyopathy	RNA polymerase	Fatty acid metabolism	Mismatch repair	Arrhythmogenic right ventricular cardiomyopathy	PD-L1 expression and PD-1 checkpoint pathway in cancer	Cushing syndrome	Thermogenesis	AGE-RAGE signaling pathway in diabetic complications	Coronavirus disease - COVID-19	Vibrio cholerae infection	Acute myeloid leukemia	Proteasome	Apoptosis - multiple species	Glucagon signaling pathway	Basal cell carcinoma	Kaposi sarcoma-associated herpesvirus infection	Long-term potentiation	Tight junction	Apelin signaling pathway	Carbon metabolism	Nucleotide metabolism	Basal transcription factors	Legionellosis	T cell receptor signaling pathway	Lipid and atherosclerosis	Circadian rhythm	Various types of N-glycan biosynthesis	Ras signaling pathway	SNARE interactions in vesicular transport	Sphingolipid metabolism	Alanine, aspartate and glutamate metabolism	Thyroid cancer	Necroptosis	Fatty acid biosynthesis	Human cytomegalovirus infection	Cytoskeleton in muscle cells	GnRH secretion	VEGF signaling pathway	Long-term depression	Alcoholism	Pentose phosphate pathway	C-type lectin receptor signaling pathway	Hepatitis C	Prolactin signaling pathway	PI3K-Akt signaling pathway	Circadian entrainment	Platelet activation	Pyruvate metabolism	GnRH signaling pathway	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	Antifolate resistance	Chemical carcinogenesis - reactive oxygen species	Purine metabolism	Oxidative phosphorylation	cGMP-PKG signaling pathway	Steroid biosynthesis	2-Oxocarboxylic acid metabolism	Endocrine and other factor-regulated calcium reabsorption
150/5797	225/5797	134/5797	155/5797	166/5797	153/5797	254/5797	392/5797	214/5797	73/5797	108/5797	178/5797	140/5797	303/5797	176/5797	79/5797	139/5797	317/5797	87/5797	82/5797	99/5797	123/5797	210/5797	96/5797	118/5797	107/5797	99/5797	72/5797	187/5797	136/5797	251/5797	97/5797	124/5797	78/5797	73/5797	59/5797	190/5797	106/5797	71/5797	83/5797	70/5797	264/5797	103/5797	69/5797	167/5797	64/5797	55/5797	94/5797	217/5797	86/5797	165/5797	85/5797	35/5797	130/5797	69/5797	57/5797	103/5797	115/5797	78/5797	129/5797	170/5797	51/5797	159/5797	41/5797	57/5797	64/5797	84/5797	121/5797	83/5797	132/5797	55/5797	140/5797	62/5797	216/5797	38/5797	61/5797	109/5797	28/5797	125/5797	136/5797	48/5797	100/5797	120/5797	61/5797	54/5797	43/5797	110/5797	160/5797	30/5797	112/5797	82/5797	85/5797	85/5797	38/5797	166/5797	29/5797	62/5797	113/5797	115/5797	28/5797	119/5797	66/5797	93/5797	159/5797	31/5797	49/5797	22/5797	71/5797	74/5797	122/5797	180/5797	82/5797	182/5797	44/5797	57/5797	40/5797	29/5797	86/5797	53/5797	151/5797	56/5797	132/5797	110/5797	92/5797	69/5797	38/5797	47/5797	96/5797	164/5797	30/5797	36/5797	179/5797	29/5797	45/5797	32/5797	32/5797	122/5797	17/5797	170/5797	174/5797	53/5797	49/5797	49/5797	142/5797	27/5797	82/5797	121/5797	57/5797	265/5797	76/5797	97/5797	39/5797	73/5797	19/5797	26/5797	169/5797	98/5797	105/5797	125/5797	18/5797	28/5797	43/5797
158/8541	252/8541	142/8541	169/8541	184/8541	170/8541	300/8541	483/8541	250/8541	75/8541	117/8541	205/8541	157/8541	371/8541	204/8541	83/8541	157/8541	391/8541	93/8541	87/8541	108/8541	138/8541	251/8541	105/8541	133/8541	120/8541	110/8541	77/8541	224/8541	158/8541	311/8541	109/8541	144/8541	86/8541	80/8541	63/8541	232/8541	122/8541	78/8541	93/8541	77/8541	333/8541	119/8541	76/8541	203/8541	70/8541	59/8541	108/8541	271/8541	99/8541	203/8541	98/8541	36/8541	157/8541	78/8541	63/8541	122/8541	138/8541	90/8541	157/8541	212/8541	56/8541	198/8541	44/8541	64/8541	73/8541	99/8541	148/8541	98/8541	163/8541	62/8541	174/8541	71/8541	278/8541	41/8541	70/8541	133/8541	29/8541	155/8541	170/8541	54/8541	122/8541	149/8541	71/8541	62/8541	48/8541	136/8541	204/8541	32/8541	139/8541	99/8541	103/8541	103/8541	42/8541	213/8541	31/8541	73/8541	141/8541	144/8541	30/8541	150/8541	79/8541	115/8541	205/8541	34/8541	57/8541	23/8541	86/8541	90/8541	155/8541	235/8541	101/8541	238/8541	51/8541	68/8541	46/8541	32/8541	107/8541	63/8541	196/8541	67/8541	170/8541	140/8541	116/8541	85/8541	44/8541	56/8541	122/8541	216/8541	34/8541	42/8541	238/8541	33/8541	54/8541	37/8541	37/8541	159/8541	18/8541	226/8541	232/8541	65/8541	60/8541	60/8541	188/8541	31/8541	105/8541	159/8541	71/8541	362/8541	97/8541	126/8541	47/8541	93/8541	21/8541	30/8541	227/8541	128/8541	138/8541	166/8541	20/8541	33/8541	53/8541
0.949367088607595	0.892857142857143	0.943661971830986	0.917159763313609	0.902173913043478	0.9	0.846666666666667	0.811594202898551	0.856	0.973333333333333	0.923076923076923	0.868292682926829	0.89171974522293	0.816711590296496	0.862745098039216	0.951807228915663	0.885350318471338	0.81074168797954	0.935483870967742	0.942528735632184	0.916666666666667	0.891304347826087	0.836653386454183	0.914285714285714	0.887218045112782	0.891666666666667	0.9	0.935064935064935	0.834821428571429	0.860759493670886	0.807073954983923	0.889908256880734	0.861111111111111	0.906976744186046	0.9125	0.936507936507937	0.818965517241379	0.868852459016393	0.91025641025641	0.89247311827957	0.909090909090909	0.792792792792793	0.865546218487395	0.907894736842105	0.822660098522167	0.914285714285714	0.932203389830508	0.87037037037037	0.800738007380074	0.868686868686869	0.812807881773399	0.86734693877551	0.972222222222222	0.828025477707006	0.884615384615385	0.904761904761905	0.844262295081967	0.833333333333333	0.866666666666667	0.821656050955414	0.80188679245283	0.910714285714286	0.803030303030303	0.931818181818182	0.890625	0.876712328767123	0.848484848484849	0.817567567567568	0.846938775510204	0.809815950920245	0.887096774193548	0.804597701149425	0.873239436619718	0.776978417266187	0.926829268292683	0.871428571428571	0.819548872180451	0.96551724137931	0.806451612903226	0.8	0.888888888888889	0.819672131147541	0.805369127516778	0.859154929577465	0.870967741935484	0.895833333333333	0.808823529411765	0.784313725490196	0.9375	0.805755395683453	0.828282828282828	0.825242718446602	0.825242718446602	0.904761904761905	0.779342723004695	0.935483870967742	0.849315068493151	0.801418439716312	0.798611111111111	0.933333333333333	0.793333333333333	0.835443037974684	0.808695652173913	0.775609756097561	0.911764705882353	0.859649122807018	0.956521739130435	0.825581395348837	0.822222222222222	0.787096774193548	0.765957446808511	0.811881188118812	0.764705882352941	0.862745098039216	0.838235294117647	0.869565217391304	0.90625	0.803738317757009	0.841269841269841	0.770408163265306	0.835820895522388	0.776470588235294	0.785714285714286	0.793103448275862	0.811764705882353	0.863636363636364	0.839285714285714	0.786885245901639	0.759259259259259	0.882352941176471	0.857142857142857	0.752100840336134	0.878787878787879	0.833333333333333	0.864864864864865	0.864864864864865	0.767295597484277	0.944444444444444	0.752212389380531	0.75	0.815384615384615	0.816666666666667	0.816666666666667	0.75531914893617	0.870967741935484	0.780952380952381	0.761006289308176	0.802816901408451	0.732044198895028	0.783505154639175	0.76984126984127	0.829787234042553	0.78494623655914	0.904761904761905	0.866666666666667	0.744493392070485	0.765625	0.760869565217391	0.753012048192771	0.9	0.848484848484849	0.811320754716981
1.39874837050155	1.31548953892407	1.39034274649102	1.35129576306047	1.32921638628676	1.32601345523547	1.2474348801104	1.1957609258162	1.26118613075729	1.43405899603243	1.3600138002415	1.27929753404831	1.31381375607194	1.20330061975545	1.27112400937605	1.40234354703617	1.3044293721	1.19450487442354	1.37829355562109	1.38867309488261	1.35056925996205	1.31320173103029	1.23268183089618	1.34706128785825	1.3071811839414	1.31373555287218	1.32601345523547	1.37767631712776	1.22998271889401	1.26819852258807	1.18910102630976	1.31114480283221	1.26871657754011	1.33629262930706	1.3444303087804	1.37980236082703	1.20662143915105	1.28012227918907	1.34112471968259	1.31492373697185	1.33940753054088	1.16805990050772	1.27525103538051	1.33764515221122	1.2120648441397	1.34706128785825	1.37346026436819	1.2823586912771	1.17976596878268	1.27987830696128	1.19754909750329	1.27790412352624	1.43242194238399	1.21996991635252	1.30334655856477	1.33302939944306	1.24389240336296	1.22779023632914	1.2769018457823	1.21058553238057	1.18145852929785	1.34179932970256	1.18314331864444	1.3728927188044	1.31220081507676	1.29170260479558	1.25011369517148	1.20456177239858	1.24783579120798	1.19314094131617	1.30700250964069	1.18545264197296	1.28658582511109	1.14475981746947	1.3655423116246	1.2839177899899	1.20748092414926	1.42254317036755	1.18818409967336	1.17867862687597	1.30964291875108	1.20766252753685	1.18658922168722	1.26583444083511	1.28323882764723	1.31987450405382	1.19167875879004	1.15556728125095	1.38126401587028	1.1871583292276	1.22034908338169	1.21586994277254	1.21586994277254	1.33302939944306	1.14824326327119	1.37829355562109	1.25133689839572	1.18076848259738	1.17663230981542	1.37512506468863	1.16885630498534	1.23089856604136	1.19149035108114	1.14274330288585	1.34334696445423	1.26656255958163	1.40928966256909	1.21636893180514	1.21141969984475	1.1596676812812	1.1285220895621	1.19618375499789	1.12667809921968	1.27112400937605	1.23501253183695	1.28117242051736	1.33522188200794	1.18418647092679	1.23948347667513	1.13507954501449	1.23145528181072	1.14401160843844	1.15763079425319	1.16851760423049	1.19601213609473	1.27243715401383	1.23656016658863	1.15935602643538	1.11865332643321	1.30001319140732	1.26286995736711	1.10810648219957	1.29476061285618	1.22779023632914	1.27424716419024	1.27424716419024	1.13049365156343	1.39149560117302	1.10827083279267	1.10501121269622	1.20134552354666	1.20323443160255	1.20323443160255	1.11284817165151	1.28323882764723	1.15061485004559	1.12122731015717	1.18282890373117	1.07855606395764	1.15437597477543	1.1342443135612	1.22256559702561	1.15649919034873	1.33302939944306	1.2769018457823	1.09689806135484	1.12803227962739	1.12102586795269	1.10944900873115	1.32601345523547	1.25011369517148	1.19535804140723
7.3530287444834	7.38877932420956	6.81734114718268	6.70409540938928	6.56150835117783	6.24036290220338	6.34118061079378	6.4376072308665	6.09193401373879	5.48755382662019	5.69890519800823	5.8830658677056	5.76812549270353	5.81906436702293	5.69661269271636	5.35353662449127	5.5956336774962	5.72240505727251	5.33128619074977	5.29604315219566	5.32884626795017	5.3911950812805	5.43826792429312	5.20081098123224	5.18934579252233	5.03049889100363	5.00185219998135	4.83855653376222	5.06960817463073	4.94565393041625	4.93756350984859	4.75170021576164	4.72663602843338	4.55562849166421	4.49856540383434	4.39764087440634	4.63749577675677	4.52934960703903	4.39882672277121	4.43821615544251	4.34828039257523	4.54680236254537	4.39474170864941	4.29726726969329	4.44451404795032	4.23766269422083	4.18369295800304	4.29200797125835	4.37097076994356	4.07101491507797	4.14028898837616	4.02159346114316	3.77885603473979	4.04320734063023	3.91167473678543	3.8560679195904	3.94354195792559	3.92099238283769	3.83823522287086	3.8707155254229	3.88854758678949	3.72973373648829	3.78966730482796	3.60425877467018	3.64369032950946	3.63789235880418	3.6380689684865	3.64867563083936	3.58646998364934	3.61856601383615	3.52617599703144	3.59220651645179	3.52436359921677	3.56648236081715	3.41003354652493	3.46667251277302	3.50506579520181	3.31278163578117	3.43644879971543	3.42016397380933	3.31756517390304	3.35773430881216	3.33953101929609	3.26916806277567	3.2532305896974	3.23004233274406	3.27501366003434	3.26863914038828	3.14050925319304	3.23343215682699	3.20512302189503	3.20353564194572	3.20353564194572	3.14457412694672	3.18443905785512	3.06678649324382	3.13448206196197	3.14580036003757	3.10690411064933	2.99147203590835	3.0324565197682	2.99665539165104	3.00485569414917	3.00671560138462	2.9155667332279	2.93477479040475	2.85669850796564	2.93106772061439	2.93056384821239	2.91570761102829	2.90371693605524	2.88264417947642	2.88078621248156	2.82252471310155	2.82790884597592	2.77912752677596	2.76125566142308	2.78657893177578	2.77292200995853	2.78062860616685	2.76438672888294	2.75658775536368	2.73324222470773	2.65599863870833	2.63966290443274	2.63328821771819	2.58135799974421	2.57665744332758	2.56716158066933	2.5475934577931	2.48210538790445	2.45844913460808	2.46576232247858	2.44058206804399	2.42979656522403	2.42979656522403	2.41408551361266	2.4166036497235	2.39757997188886	2.35691444891559	2.36832726538667	2.29608474311666	2.29608474311666	2.27400148018235	2.29618770418803	2.25700587607362	2.24266153792475	2.24838591701125	2.21984386120543	2.22243976821009	2.20644264608289	2.22376743943918	2.20554106717435	2.22080770835475	2.20818123426841	2.1506093950346	2.12122897425234	2.08323900978419	2.06972192725991	2.12150359404112	2.09227725479947	2.07350493770689
3.54665081843658e-17	5.83793918345252e-16	8.28102886436413e-15	8.24116019047835e-14	4.80446710316257e-13	6.58523085500434e-12	1.23167072035948e-11	1.25111636741893e-11	6.09041043746619e-11	1.37670129893592e-10	1.93588986197307e-10	2.0518904268393e-10	2.72445283849974e-10	7.93595438491841e-10	8.25331368169736e-10	9.61204051621585e-10	1.04370256579849e-09	1.61826104786607e-09	1.90399834981485e-09	1.98066947546196e-09	3.18683544116508e-09	3.65978555036434e-09	6.79364412090704e-09	7.98860170305624e-09	1.47202025543546e-08	3.71143913494478e-08	3.84245155916604e-08	5.39766390238677e-08	6.50890854398919e-08	9.80428440505669e-08	1.84966156111291e-07	2.07003806962578e-07	3.46006344046452e-07	5.0976125865348e-07	6.54540770452484e-07	8.03561556242123e-07	8.51957788812297e-07	9.53623782314504e-07	1.19676530747947e-06	1.20564169037337e-06	1.61534419011349e-06	1.66397963596508e-06	2.04159390436439e-06	2.17763019548012e-06	2.26661460836659e-06	2.79086202021958e-06	2.95587289709755e-06	3.35488038107256e-06	3.81914069855701e-06	1.0525562909041e-05	1.08940883117572e-05	1.35805453377918e-05	1.52940820569332e-05	1.5832689720022e-05	2.04397017610839e-05	2.28042558994206e-05	2.30476441815099e-05	2.72394120228895e-05	3.29928807189946e-05	3.63851634838707e-05	3.67320667609129e-05	4.0410906399222e-05	5.65547763778152e-05	6.23281331220211e-05	7.03527659764466e-05	7.85464219362804e-05	9.06267805084348e-05	9.835896701557e-05	0.000114332293409701	0.00011491575258521	0.000122772358373734	0.000130583048420543	0.000132969658663909	0.000157234138213912	0.000163282329278708	0.000172529922711495	0.000178732062728572	0.000190292370298585	0.000245677960079214	0.000266611979979471	0.000302941954426737	0.00032500070472711	0.00036179170405577	0.000413847533401779	0.000424753892166741	0.000426006420197701	0.000461383425116909	0.000495793109168058	0.000514224903642969	0.000544555330659536	0.000579143847147331	0.000586606103777651	0.000586606103777651	0.000587410409809987	0.000683827574284536	0.000714456396083055	0.000725113102852496	0.000762730907001795	0.000883923521823441	0.00099076710023198	0.00116456948132533	0.0012527580840642	0.00126230470564541	0.0012982673984858	0.00144894600597911	0.0015120345320585	0.00158291610097651	0.00161039040401092	0.00161968767091919	0.00176274150176186	0.00186051132204597	0.0019372144227396	0.00201040363307013	0.00226650431096845	0.00228775471598716	0.0026249503812776	0.00265002748967054	0.00270463123883098	0.00276323966500639	0.00279187710734056	0.00285826216419732	0.00301495956042375	0.00324637666203291	0.00416062265433424	0.0043771825920088	0.00438907198526346	0.00526590906047839	0.00533982611981439	0.00545652922611577	0.00581009577441774	0.00725092700870191	0.00750915342397652	0.00763806403217688	0.00823565240385687	0.00857872586822167	0.00857872586822167	0.00862528558159152	0.00884309980300607	0.0089492974379963	0.0100242448324839	0.0101739543520491	0.0125963580997531	0.0125963580997531	0.0126823516421244	0.013064108247428	0.0136368427778816	0.0138994834007808	0.014271060896003	0.014320940421255	0.0150479905453642	0.0154881477105268	0.0157039861819298	0.0157892680783963	0.0168421749605909	0.0169902951500659	0.0174339756998878	0.0193468277953987	0.0212226181590235	0.0217309527982706	0.0227119305736264	0.023273989293866	0.023341077062594
