,,FDR_ACE,power_ACE,FDR_Fan,power_Fan,FDR_BH,power_BH,FDR_BY,power_BY,FDR_e_BH,power_e_BH,Case,var
0.2,factor,0.043,0.644,0.042,0.565,0.041,0.549,0.004,0.355,0.001,0.236,P1P1,Homoscedasticity
,no factor,0.047,0.649,0.041,0.643,0.04,0.63,0.005,0.456,0.001,0.371,P1P1,Homoscedasticity
0.05,factor,0.054,0.533,0.049,0.453,0.043,0.421,0.006,0.253,0,0.083,P1P1,Homoscedasticity
,no factor,0.053,0.545,0.05,0.523,0.041,0.516,0.005,0.356,0,0.166,P1P1,Homoscedasticity
0.2,factor,0.044,0.707,0.051,0.632,0.041,0.612,0.004,0.421,0.001,0.331,P1P2,Homoscedasticity
,no factor,0.042,0.712,0.051,0.719,0.038,0.695,0.006,0.54,0.002,0.462,P1P2,Homoscedasticity
0.05,factor,0.053,0.608,0.062,0.527,0.039,0.489,0.006,0.331,0,0.142,P1P2,Homoscedasticity
,no factor,0.05,0.618,0.064,0.593,0.041,0.589,0.006,0.434,0,0.275,P1P2,Homoscedasticity
0.2,factor,0.043,0.725,0.054,0.671,0.037,0.629,0.005,0.446,0.002,0.361,P1P3,Homoscedasticity
,no factor,0.04,0.736,0.056,0.746,0.039,0.718,0.004,0.569,0.002,0.501,P1P3,Homoscedasticity
0.05,factor,0.051,0.621,0.071,0.551,0.042,0.503,0.003,0.352,0,0.168,P1P3,Homoscedasticity
,no factor,0.05,0.639,0.072,0.658,0.044,0.611,0.007,0.469,0.001,0.33,P1P3,Homoscedasticity
0.2,factor,0.043,0.787,0.042,0.641,0.04,0.632,0.004,0.524,0.002,0.37,P2P2,Homoscedasticity
,no factor,0.043,0.784,0.032,0.713,0.038,0.73,0.005,0.651,0.002,0.522,P2P2,Homoscedasticity
0.05,factor,0.055,0.694,0.036,0.501,0.045,0.528,0.004,0.441,0.0003,0.183,P2P2,Homoscedasticity
,no factor,0.053,0.706,0.035,0.626,0.046,0.626,0.007,0.578,0.0004,0.336,P2P2,Homoscedasticity
0.2,factor,0.043,0.807,0.047,0.741,0.034,0.712,0.005,0.558,0.002,0.487,P2P3,Homoscedasticity
,no factor,0.042,0.808,0.046,0.814,0.038,0.806,0.004,0.684,0.003,0.647,P2P3,Homoscedasticity
0.05,factor,0.051,0.721,0.057,0.648,0.043,0.603,0.008,0.465,0.001,0.316,P2P3,Homoscedasticity
,no factor,0.051,0.737,0.062,0.745,0.045,0.733,0.006,0.606,0.001,0.493,P2P3,Homoscedasticity
0.2,factor,0.044,0.836,0.042,0.758,0.043,0.741,0.003,0.594,0.002,0.547,P3P3,Homoscedasticity
,no factor,0.045,0.838,0.043,0.838,0.039,0.838,0.005,0.727,0.003,0.698,P3P3,Homoscedasticity
0.05,factor,0.051,0.777,0.055,0.686,0.039,0.646,0.005,0.504,0,0.367,P3P3,Homoscedasticity
,no factor,0.047,0.761,0.05,0.775,0.043,0.766,0.005,0.642,0,0.568,P3P3,Homoscedasticity
0.2,factor,0.046,0.231,0.042,0.189,0.039,0.174,0.003,0.046,0,0.001,P4P4,Heteroscedasticity
,no factor,0.043,0.236,0.042,0.201,0.037,0.22,0.006,0.068,0,0.002,P4P4,Heteroscedasticity
0.05,factor,0.046,0.105,0.056,0.104,0.031,0.076,0.003,0.021,0,0,P4P4,Heteroscedasticity
,no factor,0.049,0.111,0.059,0.108,0.037,0.098,0.003,0.033,0,0.001,P4P4,Heteroscedasticity
0.2,factor,0.042,0.32,0.048,0.298,0.037,0.255,0.006,0.089,0,0.004,P4P5,Heteroscedasticity
,no factor,0.039,0.33,0.052,0.327,0.038,0.295,0.005,0.121,0,0.007,P4P5,Heteroscedasticity
0.05,factor,0.049,0.18,0.069,0.172,0.052,0.136,0.004,0.041,0,0.002,P4P5,Heteroscedasticity
,no factor,0.049,0.201,0.069,0.194,0.045,0.171,0.002,0.058,0,0.003,P4P5,Heteroscedasticity
0.2,factor,0.041,0.351,0.051,0.308,0.035,0.265,0.005,0.105,0,0.006,P4P6,Heteroscedasticity
,no factor,0.041,0.37,0.059,0.356,0.036,0.32,0.005,0.15,0,0.015,P4P6,Heteroscedasticity
0.05,factor,0.052,0.213,0.084,0.235,0.044,0.147,0.009,0.05,0,0.002,P4P6,Heteroscedasticity
,no factor,0.055,0.216,0.077,0.23,0.043,0.201,0.003,0.081,0,0.003,P4P6,Heteroscedasticity
0.2,factor,0.042,0.446,0.039,0.386,0.039,0.371,0.004,0.17,0,0.031,P5P5,Heteroscedasticity
,no factor,0.041,0.451,0.04,0.423,0.039,0.443,0.005,0.23,0.0004,0.076,P5P5,Heteroscedasticity
0.05,factor,0.046,0.287,0.053,0.273,0.049,0.236,0.002,0.092,0,0.005,P5P5,Heteroscedasticity
,no factor,0.048,0.311,0.049,0.299,0.041,0.303,0.002,0.131,0,0.011,P5P5,Heteroscedasticity
0.2,factor,0.042,0.487,0.045,0.408,0.039,0.393,0.003,0.206,0.001,0.045,P5P6,Heteroscedasticity
,no factor,0.043,0.492,0.046,0.461,0.041,0.46,0.004,0.282,0.001,0.109,P5P6,Heteroscedasticity
0.05,factor,0.052,0.345,0.061,0.34,0.049,0.265,0.005,0.121,0,0.01,P5P6,Heteroscedasticity
,no factor,0.05,0.354,0.052,0.359,0.052,0.337,0.005,0.18,0.001,0.024,P5P6,Heteroscedasticity
0.2,factor,0.044,0.499,0.043,0.446,0.036,0.418,0.005,0.254,0.001,0.09,P6P6,Heteroscedasticity
,no factor,0.044,0.517,0.042,0.489,0.039,0.495,0.005,0.337,0.001,0.182,P6P6,Heteroscedasticity
0.05,factor,0.049,0.365,0.055,0.352,0.034,0.301,0.007,0.164,0,0.021,P6P6,Heteroscedasticity
,no factor,0.05,0.417,0.055,0.391,0.051,0.406,0.008,0.225,0,0.052,P6P6,Heteroscedasticity
