,,FDR_ACE,power_ACE,FDR_Fan,power_Fan,FDR_BH,power_BH,FDR_BY,power_BY,FDR_e_BH,power_e_BH,Case,var
0.2,factor,0.033,0.547,0.046,0.52,0.037,0.505,0.003,0.201,0,0.027,P1P1,Homoscedasticity
,no factor,0.034,0.642,0.048,0.667,0.034,0.644,0.004,0.334,0,0.12,P1P1,Homoscedasticity
0.05,factor,0.044,0.361,0.056,0.343,0.036,0.298,0.003,0.099,0,0.003,P1P1,Homoscedasticity
,no factor,0.042,0.455,0.057,0.482,0.037,0.413,0.006,0.178,0,0.012,P1P1,Homoscedasticity
0.2,factor,0.033,0.643,0.073,0.659,0.045,0.563,0.004,0.254,0,0.055,P1P2,Homoscedasticity
,no factor,0.03,0.706,0.066,0.777,0.036,0.707,0.004,0.427,0.0003,0.223,P1P2,Homoscedasticity
0.05,factor,0.036,0.436,0.102,0.505,0.034,0.366,0.004,0.131,0,0.004,P1P2,Homoscedasticity
,no factor,0.034,0.534,0.098,0.661,0.039,0.514,0.003,0.246,0,0.026,P1P2,Homoscedasticity
0.2,factor,0.031,0.659,0.075,0.721,0.035,0.592,0.004,0.292,0.001,0.087,P1P3,Homoscedasticity
,no factor,0.028,0.746,0.0813,0.838,0.036,0.739,0.003,0.455,0.001,0.279,P1P3,Homoscedasticity
0.05,factor,0.046,0.484,0.129,0.554,0.032,0.39,0.004,0.15,0,0.011,P1P3,Homoscedasticity
,no factor,0.035,0.593,0.135,0.724,0.042,0.572,0.002,0.295,0,0.042,P1P3,Homoscedasticity
0.2,factor,0.032,0.771,0.032,0.622,0.039,0.634,0.003,0.433,0.001,0.134,P2P2,Homoscedasticity
,no factor,0.031,0.832,0.031,0.762,0.04,0.796,0.004,0.639,0.001,0.389,P2P2,Homoscedasticity
0.05,factor,0.036,0.601,0.037,0.413,0.041,0.439,0.006,0.288,0,0.012,P2P2,Homoscedasticity
,no factor,0.038,0.69,0.034,0.59,0.04,0.626,0.006,0.486,0,0.063,P2P2,Homoscedasticity
0.2,factor,0.033,0.809,0.061,0.795,0.036,0.738,0.004,0.462,0.001,0.292,P2P3,Homoscedasticity
,no factor,0.029,0.859,0.059,0.902,0.04,0.887,0.005,0.693,0.002,0.619,P2P3,Homoscedasticity
0.05,factor,0.041,0.656,0.071,0.657,0.046,0.565,0.003,0.304,0,0.042,P2P3,Homoscedasticity
,no factor,0.037,0.735,0.082,0.837,0.044,0.785,0.006,0.529,0,0.218,P2P3,Homoscedasticity
0.2,factor,0.037,0.891,0.043,0.81,0.037,0.797,0.005,0.563,0.002,0.409,P3P3,Homoscedasticity
,no factor,0.03,0.944,0.05,0.942,0.039,0.934,0.005,0.794,0.003,0.751,P3P3,Homoscedasticity
0.05,factor,0.041,0.784,0.067,0.677,0.036,0.654,0.004,0.386,0,0.085,P3P3,Homoscedasticity
,no factor,0.035,0.793,0.064,0.882,0.049,0.856,0.006,0.65,0.001,0.373,P3P3,Homoscedasticity
0.2,factor,0.04,0.244,0.046,0.196,0.029,0.156,0.004,0.022,0,0,P4P4,Heteroscedasticity
,no factor,0.038,0.273,0.049,0.214,0.032,0.202,0.008,0.035,0,0,P4P4,Heteroscedasticity
0.05,factor,0.049,0.115,0.045,0.075,0.043,0.062,0.003,0.01,0,0,P4P4,Heteroscedasticity
,no factor,0.05,0.129,0.072,0.091,0.033,0.072,0,0.013,0,0,P4P4,Heteroscedasticity
0.2,factor,0.038,0.298,0.061,0.348,0.031,0.22,0.006,0.043,0,0,P4P5,Heteroscedasticity
,no factor,0.03,0.339,0.071,0.386,0.031,0.272,0.002,0.06,0,0,P4P5,Heteroscedasticity
0.05,factor,0.049,0.149,0.115,0.201,0.034,0.08,0.013,0.014,0,0,P4P5,Heteroscedasticity
,no factor,0.037,0.171,0.122,0.222,0.044,0.118,0.002,0.022,0,0,P4P5,Heteroscedasticity
0.2,factor,0.036,0.331,0.08,0.375,0.039,0.243,0.004,0.052,0,0,P4P6,Heteroscedasticity
,no factor,0.03,0.377,0.087,0.429,0.031,0.298,0.004,0.079,0,0,P4P6,Heteroscedasticity
0.05,factor,0.045,0.169,0.124,0.265,0.025,0.089,0.004,0.017,0,0,P4P6,Heteroscedasticity
,no factor,0.046,0.214,0.154,0.299,0.031,0.133,0.006,0.026,0,0,P4P6,Heteroscedasticity
0.2,factor,0.03,0.417,0.041,0.427,0.035,0.396,0.004,0.104,0,0.001,P5P5,Heteroscedasticity
,no factor,0.031,0.464,0.047,0.468,0.039,0.463,0.005,0.168,0,0.004,P5P5,Heteroscedasticity
0.05,factor,0.049,0.235,0.086,0.246,0.04,0.187,0.002,0.037,0,0,P5P5,Heteroscedasticity
,no factor,0.043,0.28,0.06,0.269,0.036,0.249,0.004,0.064,0,0,P5P5,Heteroscedasticity
0.2,factor,0.035,0.468,0.054,0.485,0.034,0.416,0.003,0.141,0,0.001,P5P6,Heteroscedasticity
,no factor,0.029,0.521,0.064,0.524,0.038,0.489,0.004,0.204,0,0.002,P5P6,Heteroscedasticity
0.05,factor,0.038,0.266,0.071,0.316,0.039,0.221,0.007,0.05,0,0,P5P6,Heteroscedasticity
,no factor,0.036,0.306,0.096,0.364,0.043,0.289,0.002,0.085,0,0.001,P5P6,Heteroscedasticity
0.2,factor,0.035,0.572,0.053,0.51,0.041,0.481,0.004,0.209,0,0.008,P6P6,Heteroscedasticity
,no factor,0.028,0.59,0.05,0.559,0.039,0.55,0.005,0.289,0,0.023,P6P6,Heteroscedasticity
