"","chromosome_name","start_position","end_position","hgnc_symbol","Reporter.identifier","start","end","distance"
"1","17",17759154,17770821,"RAI1-AS1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.100",17762941,17763000,11608
"2","11",70206291,70207390,"FADD","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10001",70207199,70207258,1040
"3","12",122503454,122527000,"RSRC2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10006",122505198,122505257,23487
"4","11",77514936,77637794,"CLNS1A","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10008",77616291,77616350,122799
"5","8",63014881,63039407,"GGH","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10010",63024131,63024188,24469
"6","16",47077703,47143945,"NETO2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10011",47081869,47081928,66183
"7","15",83447228,83618743,"SH3GL3","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10017",83618342,83618401,171456
"8","6",83552880,83709691,"SNAP91","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10019",83554166,83554225,156752
"9","7",50444128,50450390,"FIGNL1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10024",50444330,50444389,6203
"10","19",5576660,5576938,"SNRPEP4","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10028",5576771,5576830,219
"11","14",32149176,32158008,"ARHGAP5","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10031",32154965,32155024,8773
"12","5",154474972,154478227,"HAND1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10036",154475746,154475805,3196
"13","16",67873052,67884499,"EDC4","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10063",67882208,67882260,11395
"14","3",100132903,100260264,"CMSS1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1008",100178499,100178558,127302
"15","13",45120510,45284893,"GTF2F2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10091",45284044,45284103,164324
"16","7",130506238,130668748,"COPG2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10110",130508662,130508721,162451
"17","X",133216662,133218354,"TFDP3","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10126",133217628,133217687,1633
"18","X",153687926,153696588,"SLC6A8","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10135",153696059,153696118,8603
"19","7",116952698,116952813,"ST7-AS1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10138",116952641,116952700,170
"20","2",170813213,170861151,"GAD1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10142",170857046,170857105,47879
"21","7",111726110,112206407,"DOCK4","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10151",111726937,111726996,480238
"22","HSCHR8_3_CTG7",68398,73345,"EEF1D","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1016",70659,70718,4888
"23","3",45001548,45036071,"CLEC3B","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10162",45011376,45011435,34464
"24","14",69259277,69357033,"GALNT16","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10163",69354354,69354413,97697
"25","18",10525905,10552764,"NAPG","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10165",10550267,10550326,26800
"26","HG2334_PATCH",78462,183684,"PTEN","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10168",173749,173808,105163
"27","4",107989714,108035241,"HADH","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10172",108034954,108035013,45468
"28","1",155859567,155885199,"SYT11","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10195",155884512,155884571,25573
"29","11",9384652,9448127,"IPO7","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10199",9445462,9445521,63416
"30","19",55181247,55209506,"PTPRH","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10202",55181400,55181459,28200
"31","1",1635225,1659012,"CDK11B","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10208",1636072,1636126,23733
"32","7",45080437,45088969,"NACAD","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10220",45081191,45081250,8473
"33","10",96043394,96060870,"CCNJ","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10224",96060642,96060701,17417
"34","6",135283407,135498434,"AHI1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10252",135428624,135428668,214983
"35","3",113716458,113746300,"NAA50","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10259",113720293,113720352,29783
"36","3",196942674,196943543,"NCBP2AS2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10306",196943458,196943517,810
